Naziv pjesme;Naziv proizvoda;Vrsta proizvoda;Godina izdanja;Žanrovi;Jezici
Anyplace Is Paradise;Elvis;Album;1956.;Rockabilly, Rock, Blues;Engleski
Wooden Heart;G.I. Blues;Album;1960.;Pop, Rhythm and Blues;Engleski, Njemački
Joshua Fit the Battle;His Hand in Mine;Album;1960.;Pop, Gospel;Engleski
Hawaiian Wedding Song;Blue Hawaii;Album;1961.;Pop, Blues, Gospel;Engleski
Santa Lucia;Elvis for Everyone!;Album;1965.;Rockabilly, Rock;Engleski, Španjolski
Release Me;On Stage;Album;1970.;Rock;Engleski
King of the Whole Wide World;C'mon Everybody;Kompilacija;1971.;Rock, Pop;Engleski
Early Mornin' Rain;Elvis Now;Album;1972.;Rock, Pop, Gospel;Engleski
All Shook Up;Elvis Recorded Live on Stage in Memphis;Album;1974.;Rockabilly, Rock, Pop, Gospel;Engleski
Little Darlin';Moody Blue;Album;1977.;Rock, Pop;Engleski
Moody Blue;Moody Blue;Album;1977.;Rock, Pop;Engleski
Good Time Charlie's Got the Blues;Walk a Mile in My Shoes;Kompilacija;1995.;Rockabilly, Rock, Pop, Blues;Engleski
